Date,Hawaii,Honolulu,Kalawao,Kauai,Maui,Total
1/22/20,0,0,0,0,0,0.0
1/23/20,0,0,0,0,0,0.0
1/24/20,0,0,0,0,0,0.0
1/25/20,0,0,0,0,0,0.0
1/26/20,0,0,0,0,0,0.0
1/27/20,0,0,0,0,0,0.0
1/28/20,0,0,0,0,0,0.0
1/29/20,0,0,0,0,0,0.0
1/30/20,0,0,0,0,0,0.0
1/31/20,0,0,0,0,0,0.0
2/1/20,0,0,0,0,0,0.0
2/2/20,0,0,0,0,0,0.0
2/3/20,0,0,0,0,0,0.0
